tweet,labels;
tangkap ahok rakyatbersamafpi indonesia akan hancur tanpa ulama,2;
status dukung gerakan matikan lilin untuk ahok gubernur sebut akun facebok dihack,2;
aki amien rais bilang prabowo dengan bung karno dari mana bung karno mempersatukan suku agama ras pulau nkri wowo mcah belah dasar mabok aki,2;
belajar dari negara tetanga vietnam terbukti korupsi hukuman mati pasti mikir tikus rakus nya indonesia surabaya tidak berani ditumpas,2;
sih cebong sudah kebanyakan makan kotoran jokowi dia baru sadar nanti jokowi sudah mengumumkan indonesia dirubah menjadi indochina,2;
apanya yang cerdas negara hancur begini kalau ini benar ini bukti kalau surabaya peduli sama nasib bangsa ini,2;
pemimpin tolol akan menular kan ketololanya pada pengikutnya,2;
nonta mati jika kebanyakan minum,2;
indiehome ini kacau memang pernah saking kesal teknisi beberapa kali cuma cek pergi solusi jugansampe hari akhirnya harus pakai ketebelece dari seorang dirjen bakal menulis di koran kompas engak ada jam langsung beres kesal,2;
memang aneh lihat biksu belajar budha di mesir seorang syeikhmasaikhnemg aneh pendeta belajar kristen di saudi ulama,2;
benar bebel ini cebong,2;
kubu prabowo selalu menilai negatif kebijakan jokowi pemilihan presiden,2;
ini media milik cina itu iya usir biang perpecahan,2;
yang juara berbohong kan junjungan kalian wahai bani sialan,2;
cebong baru menetes mengapai dilayanin om,2;
belajar memancing fishing rihlah arisan gantipresiden pondok lawu cisarua,2;
belum dikurangi biaya rs kena racunyandah lah tadz cuma gerombolan berudu dungu tertarik usaha beginian,2;
bubarkan kpk kpk merusak nalar demokrasi,2;
keadilan bilang ke lain anti aseng giliran akun medsosnya diblokir demo nyinyir eh impor barang china pula,2;
saracen digunakan anies sandi serang ahok masa sih iya apa iya banget,2;
ahok bebas ulama akan beri komando revolusi lengserkan jokowi berita islam jokowi memerintahkan kapolri,2;
ganyang partai komunis indonesia didepan gedung jakarta,2;
lagi pada berkilah om anies sandi,2;
kata cebong nah telur naik cuma an berisik dasar sialan miskin,2;
isu partai komunis indonesia terus di hembuskan grup grup pendukung prabowo,2;
etnis cina memang ada ikut berjuang tapi lebih sangat banyak penghianat jadi antek belanda,2;
bubarkan dewan perwakilan rakyat nya pasti stop korupsinya,2;
biasa bani coli beda jauh junjungan dan kawan nya tertawa,2;
dengan senang hati sih cewek tadi dilepasin dan sih mbaknya naik ke angkutan umum itu jadilah di mbaknya di gang mas sama para rapist kunyuk itu setelah selesai sih mbaknya balik ke mobilnya sebelum ngegas pergi dia bilang ke para rapist itu,2;
kejamnya jejak digital politikus tentang narkotika, psikotropika, dan obat terlarang,2;
kalau kami benci pak jokowi mengapai kami bawel koreksi beliau kita lengserkan saja,2;
bukan relawan team pemenang anies sandi sih asma dewi penyebar kebencian,2;
yakin deh pencitran cuma jokowi,2;
di wikipedia orde baru termasuk pemerintahan junta militer seperti pemerintahan myanmar sekarang yang diktator kan cuma jokowi,2;
menghina tapi malu mengunakan fasilitas pemerintah buat bani daster tahu malu punya harga diri makan gaji negara dia hina haram,2;
gantipresiden pemilihan kepala daerah dki kita sudah singkirkan ahok insya alah gantipresiden,2;
sensi amat manusia menyatukan semua elemen lintas agama salah bukanya kemarin demo tandingan berasal semua lintas agama budaya dan adat berarti masih kecil dong kak,2;
perasan kemarin pakai axis aman deh di rumah kok mingu ini kacau kali sih jaringanya,2;
iya anda serang karena pandangan beda untuk bubarkan kpk bukan benahi kpk dan selamatkan ketua anda kasusnya,2;
usir duta besarnya negara kristen sudah putus hubungan diplomatik,2;
usir budha myamar dari bumi indonesia,2;
itulah perbedan kita kata cocok untuk mereka ialah keparat,2;
jokowi mundur supaya jual bumn,2;
jika kalian punya uang sebanyak itu tidak bantu pemerintah tidak beli saham freponkalianlah sebenarnya antek aseng asing anti indonesia,2;
huhahahahahanpengusaha seperti raya saja menangis ber darah darah di jaman jokowi ini sangking susahnya jaman dan rezim ini mengelola ekonomi negara enggak benernberas mahal sembilan bahan pokok mahal daya beli turun masyarakat bawah bany,2;
manis hanya di awal butut goblog solerout herjosout,2;
sekenario besar lagi di siapkan untuk melemahkanmembinasakan kpkalau berhasil imbasny lengserkan jokowi ganti pemimpin profesional korupsi,2;
mukanya mpo silvy asam banget mengakak kena deh habis jahat sih debatfinalpilkadajkt,2;
ini iya aku jelasin ncowo burungnya engak ada jadi cewek cewenya bernada nsiapa lagi transgender di indonesia nyanyi,2;
jokowiprabowo lahsekarang rayat kecil susahlistrik tambah mahal,2;
memang keparat orang orang seperti mereka ini,2;
ini kehebatan dalam merusak bangsa,2;
kpk di bubarkan kita sebagai rakyat wajibkudu bubarkan wakil rakyatdpr,2;
salah memang amp bilang antek aseng tapi adiknya prabowo bilang prabowo profesional amerika,2;
ini ini mau pangil terhormat muliakerjanya buat mengaco negara ayo ramai golongan putih dewan perwakilan rakyat dan bubarkan dewan perwakilan rakyat,2;
ini aku lengkapin dengan videonya kitab suci itu adalah fiksi penista agama itu bernama,2;
jika kodok macan asia iya level lah beda kelas jauhcma dongok dan dungu mengelu kan kodok sih munafik,2;
setya novanto menang hukum sudah mati suri,2;
dari rakyat oleh rakyat untuk rakyat itulah figur pak teriak anti aseng asing justru merekalah profesional aseng asing kubu oposan kbanyakan minum oplosan mendem tetapjokowi dan pilih,2;
grombolan kadal jidat gosongmg sukanya ribut tapi jika grombolanya salah pura budekdasar grombolan cingkrang,2;
ganyang partai komunis indonesia ber aku,2;
penciuman pak jokowi memang tajam kalau soal pencarian uangups salah penghutangan uang,2;
kelompok di balik rezim ini merekayasa berbagai terorisme islam merusak citra islam dan indonesia menuduh umat islam indonesia militan radikal garis keras menyudutkan islam melalui berbagai isu seperti lgbt menuduh mencurigai,2;
oh itu kaos rencana ditukar pakai ktp iya gantipresiden,2;
jangan ragu ganyang partai komunis indonesia segera,2;
salah pilih itu sial salah lagi itu lucu sudah sial masih melucu gantipresiden gantipresiden prabowoforpresiden prabowoforpresiden prabowoforpresiden cukup jelas gantipresiden gantipre,2;
menlu indonesia janji akan hancurkan kekuatan antichina jokowi anti pribumi turunkan jokowi tiru turki,2;
banyaknya projo yang tendensius hal berbau islam ditambah hukum berat sebelah sadar bahwa merek rezim anti islam,2;
sudah di nyinyir para bani sialan apa,2;
ributkan ekonomi salah ributkan hukum salah ributkan otoriter salah ributkan patung salah kami bolehnya apa pak,2;
badminton putri indonesia kok kalah sama jepang cina mereka bermain lepas tidak gampang menyerah komunis senaknya di sini,2;
bong suka banget hebohin hal tidak menarik pohon plastik lah bambu lah giliran isue besar seperti ekonomi anjlok tka ilegal merajalele ketahanan nasional mereka mingkem memang kapasitas otaknya kecil kali iya,2;
